MP_Name,Is_Former_Member,Constituency,State,Lok_Sabha,Entitlement,Released,AmountAvailable,WorksRecommCost,WSCost,ActualExpenditureIncurred,UnspentBalance,Flag_Overspend,Sanction_Ratio,Flag_Sanction_Over_Entitlement,Recomm_Ratio,Flag_Recomm_Over_Entitlement,Unspent_Share,Flag_Idle_Funds,Execution_Gap_Share,Flag_Execution_Gap,Anomaly_Score,Risk_Score,Risk_Level,Risk_Reasons
Sudarshan Bhagat,False,LOHARDAGA(ST),,17th Lok Sabha,17.0,12.0,12.1354,12.08,12.08,11.9673,0.1681,0,0.7105882352941176,0,0.7105882352941176,0,0.013852036191637686,0,0.009329470198675516,0,0.515,10.3,Low,Compliant within operational parameters
Vishnu Dayal Ram,False,PALAMU(SC),,17th Lok Sabha,17.0,9.5,10.1993,12.3354,10.2119,8.7213,1.478,0,0.6007,0,0.7256117647058824,0,0.14491190571901993,0,0.14596696011515983,0,0.458,9.2,Low,Compliant within operational parameters
Pashupati Nath Singh,False,DHANBAD,,17th Lok Sabha,17.0,9.5,12.2489,12.9311,11.9969,9.6448,2.6041,0,0.7057,0,0.7606529411764706,0,0.21259868233065823,0,0.19605898190365845,0,0.479,9.6,Low,Compliant within operational parameters
Arjun Munda,False,KHUNTI(ST),,17th Lok Sabha,17.0,9.5,9.639,9.639,9.639,9.5487,0.0903,0,0.567,0,0.567,0,0.0093681917211329,0,0.009368191721132811,0,0.509,10.2,Low,Compliant within operational parameters
Sanjay Seth,False,RANCHI,,17th Lok Sabha,17.0,12.0,14.5923,14.7752,14.7752,14.159,0.4333,0,0.8691294117647059,0,0.8691294117647059,0,0.029693742590270213,0,0.041705019221397965,0,0.551,11.0,Low,Compliant within operational parameters
Vijay Kumar Hansdak,False,RAJMAHAL(ST),,17th Lok Sabha,22.0,9.5,12.1301,11.9257,11.9257,11.7264,0.4037,0,0.5420772727272728,0,0.5420772727272728,0,0.03328084681906992,0,0.016711807273367678,0,0.49,9.8,Low,Compliant within operational parameters
Geeta Kora,False,SINGHBHUM(ST),,17th Lok Sabha,17.0,7.0,7.3104,7.2242,7.2242,6.1303,1.1801,0,0.4249529411764706,0,0.4249529411764706,0,0.16142755526373387,0,0.15142161069737822,0,0.481,9.6,Low,Compliant within operational parameters
Bidyut Baran Mahato,False,JAMSHEDPUR,,17th Lok Sabha,17.0,9.5,9.6681,8.9352,8.9352,9.1252,0.5429,0,0.5256,0,0.5256,0,0.0561537427209069,0,-0.021264213447936196,0,0.502,10.0,Low,Compliant within operational parameters
Sunil Soren,False,DUMKA(ST),,17th Lok Sabha,17.0,7.0,8.7375,9.496,9.496,8.1678,0.5697,0,0.5585882352941177,0,0.5585882352941177,0,0.06520171673819741,0,0.1398694187026117,0,0.473,9.5,Low,Compliant within operational parameters
Jayant Sinha,False,HAZARIBAGH,,17th Lok Sabha,17.0,9.5,9.735,15.5608,9.3595,8.5933,1.1417,0,0.5505588235294118,0,0.9153411764705882,0,0.1172778633795583,0,0.08186334740103651,0,0.497,9.9,Low,Compliant within operational parameters
